full_name,e,q,i,om,w,ad,tp_cal,per_y,class,data_arc,condition_code,n_obs_used,two_body,A1,A2,A3,DT,M1,K1,M2,K2,PC,diameter,extent,albedo,rot_per,GM
"   73P/Schwassmann-Wachmann 3-P",0.695575899386973,0.939159139363166,11.4054219318703,69.95619989625854,198.7241361407526,5.230911741831558,20060607.8532228,5.4187415622391,JFc,29,7,55,,,,,,,,,,,,,,,
"   73P/Schwassmann-Wachmann 3-Q",0.698647244447971,0.939715748283575,11.4193580973025,70.13788751331991,198.4951921977602,5.296933699717446,20060607.6794476,5.5066846858957,JFc,17,9,37,,,,,,21.5,7.5,,,,,,,,
"   73P/Schwassmann-Wachmann 3-R",0.694088213263508,0.939131547287258,11.3947263030202,69.91308584130121,198.769702114044,5.200753138465065,20060608.1796405,5.37902460370814,JFc,39,6,280,,,,,,19.2,8.0,20.0,5.0,,,,,,
"   73P/Schwassmann-Wachmann 3-S",0.69335823324,1.02236657781188,11.0481813428788,81.99161507316578,181.562191599204,5.645782961073715,20060608.7601619,6.08795179228671,JFc,1,9,11,,,,,,21.1,15.0,,,,,,,,
"   73P/Schwassmann-Wachmann 3-T",0.711932414090286,0.939318776106244,11.5122995825914,70.4760044162668,198.1833800675977,5.582197854373978,20060608.7001791,5.888248334766,JFc,34,8,23,,,,,,,,,,,,,,,
"   73P/Schwassmann-Wachmann 3-U",0.689397458779432,0.939390329396146,11.3598206486042,69.8327199189979,198.8353864788111,5.10943545100247,20060609.0362429,5.25980717089293,JFc,16,8,21,,,,,,,,,,,,,,,
"   73P/Schwassmann-Wachmann 3-V",0.69348697056495,0.912206736092244,11.651823761982,65.24678693301523,204.9294792152065,5.039949606322171,20060608.4766819,5.13422271626054,JFc,10,9,15,,,,,,,,,,,,,,,
"   73P/Schwassmann-Wachmann 3-W",0.697573249761406,0.93912503260658,11.4183179944517,70.01698506664813,198.6608054163719,5.271469975048503,20060608.4695423,5.4722133789927,JFc,29,8,19,,,,,,,,,,,,,,,
"   73P/Schwassmann-Wachmann 3-X",0.694751288807723,0.939082699809293,11.3993873710683,69.92862059302733,198.7509795337178,5.213819280620441,20060608.5550265,5.39613993690678,JFc,46,6,45,,,,,,21.7,10.0,,,,,,,,
"   73P/Schwassmann-Wachmann 3-Y",0.719502303654523,0.939165740778142,11.5618412574595,70.66913935014475,197.9700546537453,5.757258172959893,20060608.5948301,6.12671412915886,JFc,34,8,16,,,,,,,,,,,,,,,
